run_id,model,section,session_b,score,method
1,Gemma4:e2b,entry,2,0.667785,st
1,Gemma4:e2b,entry,3,0.568599,st
1,Gemma4:e2b,entry,4,0.690319,st
1,Gemma4:e2b,entry,5,0.741815,st
1,Gemma4:e2b,entry,6,0.633682,st
1,Gemma4:e2b,entry,7,0.597392,st
1,Gemma4:e2b,entry,8,0.616093,st
1,Gemma4:e2b,entry,9,0.592629,st
1,Gemma4:e2b,entry,10,0.906049,st
1,Gemma4:e2b,entry,11,0.885028,st
1,Gemma4:e2b,entry,12,0.451573,st
1,Gemma4:e2b,entry,13,0.505373,st
1,Gemma4:e2b,entry,14,0.537088,st
5,gemma4-e2b,entry,2,0.400875,st
5,gemma4-e2b,entry,3,0.714624,st
5,gemma4-e2b,entry,4,0.831781,st
5,gemma4-e2b,entry,5,0.478109,st
5,gemma4-e2b,entry,6,0.735369,st
5,gemma4-e2b,entry,7,0.588895,st
5,gemma4-e2b,entry,8,0.719728,st
5,gemma4-e2b,entry,9,0.83604,st
5,gemma4-e2b,entry,10,0.520822,st
5,gemma4-e2b,entry,11,0.556379,st
5,gemma4-e2b,entry,12,0.436967,st
5,gemma4-e2b,entry,13,0.879559,st
5,gemma4-e2b,entry,14,0.807153,st
5,gemma4-e2b,entry,15,0.677194,st
6,gemma4-e2b,entry,2,0.873527,st
6,gemma4-e2b,entry,3,0.889768,st
6,gemma4-e2b,entry,4,0.906364,st
6,gemma4-e2b,entry,5,0.938364,st
6,gemma4-e2b,entry,6,0.879943,st
6,gemma4-e2b,entry,7,0.948012,st
6,gemma4-e2b,entry,8,0.952848,st
6,gemma4-e2b,entry,9,0.925277,st
6,gemma4-e2b,entry,10,0.913008,st
6,gemma4-e2b,entry,11,0.893029,st
6,gemma4-e2b,entry,12,0.888736,st
7,gemma4-e2b,entry,2,0.746593,st
7,gemma4-e2b,entry,5,0.87895,st
1,Gemma4:e2b,insights,2,0.751546,st
1,Gemma4:e2b,insights,3,0.739239,st
1,Gemma4:e2b,insights,4,0.717077,st
1,Gemma4:e2b,insights,5,0.793273,st
1,Gemma4:e2b,insights,6,0.772948,st
1,Gemma4:e2b,insights,7,0.733989,st
1,Gemma4:e2b,insights,8,0.755975,st
1,Gemma4:e2b,insights,9,0.895817,st
1,Gemma4:e2b,insights,10,0.81348,st
1,Gemma4:e2b,insights,11,0.732445,st
1,Gemma4:e2b,insights,12,0.936733,st
1,Gemma4:e2b,insights,13,0.928517,st
1,Gemma4:e2b,insights,14,0.931638,st
2,gemma4-e2b,insights,2,0.894864,st
2,gemma4-e2b,insights,3,0.931229,st
2,gemma4-e2b,insights,4,0.970777,st
2,gemma4-e2b,insights,5,0.944589,st
2,gemma4-e2b,insights,6,0.755335,st
2,gemma4-e2b,insights,7,0.85335,st
2,gemma4-e2b,insights,8,0.850614,st
2,gemma4-e2b,insights,9,0.672868,st
2,gemma4-e2b,insights,10,0.917827,st
2,gemma4-e2b,insights,11,0.899754,st
2,gemma4-e2b,insights,12,0.943844,st
2,gemma4-e2b,insights,13,0.956308,st
2,gemma4-e2b,insights,14,0.952147,st
4,gemma4-e2b,insights,2,0.606936,st
4,gemma4-e2b,insights,3,0.526034,st
4,gemma4-e2b,insights,8,0.871141,st
4,gemma4-e2b,insights,9,0.82376,st
4,gemma4-e2b,insights,10,0.893416,st
4,gemma4-e2b,insights,11,0.970057,st
4,gemma4-e2b,insights,12,0.959183,st
4,gemma4-e2b,insights,13,0.881677,st
4,gemma4-e2b,insights,14,0.966191,st
4,gemma4-e2b,insights,15,0.966191,st
5,gemma4-e2b,insights,2,0.74224,st
5,gemma4-e2b,insights,3,0.797782,st
5,gemma4-e2b,insights,4,0.69716,st
5,gemma4-e2b,insights,5,0.894287,st
5,gemma4-e2b,insights,6,0.826522,st
5,gemma4-e2b,insights,7,0.675604,st
5,gemma4-e2b,insights,8,0.751963,st
5,gemma4-e2b,insights,9,0.946466,st
5,gemma4-e2b,insights,10,0.887698,st
5,gemma4-e2b,insights,11,0.929841,st
5,gemma4-e2b,insights,12,0.920403,st
5,gemma4-e2b,insights,13,0.983378,st
5,gemma4-e2b,insights,14,0.943579,st
5,gemma4-e2b,insights,15,0.9485,st
6,gemma4-e2b,insights,2,0.432905,st
6,gemma4-e2b,insights,3,0.535292,st
6,gemma4-e2b,insights,4,0.757788,st
6,gemma4-e2b,insights,5,0.832512,st
6,gemma4-e2b,insights,6,0.861271,st
6,gemma4-e2b,insights,7,0.837174,st
6,gemma4-e2b,insights,8,0.889641,st
6,gemma4-e2b,insights,9,0.821043,st
6,gemma4-e2b,insights,10,0.911499,st
6,gemma4-e2b,insights,11,0.904608,st
6,gemma4-e2b,insights,12,0.882027,st
7,gemma4-e2b,insights,2,0.845764,st
7,gemma4-e2b,insights,3,0.53682,st
7,gemma4-e2b,insights,4,0.833555,st
7,gemma4-e2b,insights,5,0.883032,st
7,gemma4-e2b,insights,6,0.875751,st
7,gemma4-e2b,insights,7,0.764841,st
7,gemma4-e2b,insights,8,0.924131,st
7,gemma4-e2b,insights,9,0.880051,st
7,gemma4-e2b,insights,10,0.881062,st
7,gemma4-e2b,insights,11,0.994737,st
7,gemma4-e2b,insights,12,0.961924,st
7,gemma4-e2b,insights,13,0.990033,st
7,gemma4-e2b,insights,14,0.939901,st
7,gemma4-e2b,insights,15,0.980096,st
1,Gemma4:e2b,distractions,2,0.49396,st
1,Gemma4:e2b,distractions,3,0.499791,st
1,Gemma4:e2b,distractions,4,0.855916,st
1,Gemma4:e2b,distractions,5,0.914332,st
1,Gemma4:e2b,distractions,6,0.912356,st
1,Gemma4:e2b,distractions,7,0.88014,st
1,Gemma4:e2b,distractions,8,0.888723,st
1,Gemma4:e2b,distractions,9,0.995136,st
1,Gemma4:e2b,distractions,10,0.859455,st
1,Gemma4:e2b,distractions,11,0.989766,st
1,Gemma4:e2b,distractions,12,0.991092,st
1,Gemma4:e2b,distractions,13,0.994298,st
1,Gemma4:e2b,distractions,14,0.994298,st
2,gemma4-e2b,distractions,2,0.775294,st
2,gemma4-e2b,distractions,3,0.556905,st
2,gemma4-e2b,distractions,4,0.930159,st
2,gemma4-e2b,distractions,5,0.881522,st
2,gemma4-e2b,distractions,6,0.617458,st
2,gemma4-e2b,distractions,7,0.778198,st
2,gemma4-e2b,distractions,8,0.861705,st
2,gemma4-e2b,distractions,9,0.946181,st
2,gemma4-e2b,distractions,10,0.912861,st
2,gemma4-e2b,distractions,11,0.976557,st
2,gemma4-e2b,distractions,12,0.817273,st
2,gemma4-e2b,distractions,13,0.99621,st
2,gemma4-e2b,distractions,14,0.773835,st
4,gemma4-e2b,distractions,2,0.752659,st
4,gemma4-e2b,distractions,3,0.796005,st
4,gemma4-e2b,distractions,4,0.686325,st
4,gemma4-e2b,distractions,5,0.760554,st
4,gemma4-e2b,distractions,6,0.928335,st
4,gemma4-e2b,distractions,7,0.902591,st
4,gemma4-e2b,distractions,8,0.863006,st
4,gemma4-e2b,distractions,9,0.8904,st
4,gemma4-e2b,distractions,10,0.855071,st
4,gemma4-e2b,distractions,11,0.883297,st
4,gemma4-e2b,distractions,12,0.95456,st
4,gemma4-e2b,distractions,13,0.854464,st
4,gemma4-e2b,distractions,14,0.979639,st
4,gemma4-e2b,distractions,15,1.0,st
5,gemma4-e2b,distractions,2,0.642769,st
5,gemma4-e2b,distractions,3,0.774466,st
5,gemma4-e2b,distractions,4,0.741822,st
5,gemma4-e2b,distractions,5,0.942541,st
5,gemma4-e2b,distractions,6,0.857273,st
5,gemma4-e2b,distractions,7,0.678,st
5,gemma4-e2b,distractions,8,0.980508,st
5,gemma4-e2b,distractions,9,1.0,st
5,gemma4-e2b,distractions,10,0.972032,st
5,gemma4-e2b,distractions,11,0.987244,st
5,gemma4-e2b,distractions,12,0.949578,st
5,gemma4-e2b,distractions,13,0.991353,st
5,gemma4-e2b,distractions,14,0.999744,st
5,gemma4-e2b,distractions,15,0.999744,st
6,gemma4-e2b,distractions,2,0.622703,st
6,gemma4-e2b,distractions,3,0.657757,st
6,gemma4-e2b,distractions,4,0.698806,st
6,gemma4-e2b,distractions,5,0.787208,st
6,gemma4-e2b,distractions,6,0.904921,st
6,gemma4-e2b,distractions,7,0.904989,st
6,gemma4-e2b,distractions,8,0.931688,st
6,gemma4-e2b,distractions,9,0.999371,st
6,gemma4-e2b,distractions,10,0.9987,st
6,gemma4-e2b,distractions,11,0.9979,st
6,gemma4-e2b,distractions,12,0.965236,st
7,gemma4-e2b,distractions,2,0.732452,st
7,gemma4-e2b,distractions,3,0.554148,st
7,gemma4-e2b,distractions,4,0.851778,st
7,gemma4-e2b,distractions,5,0.830375,st
7,gemma4-e2b,distractions,6,0.870971,st
7,gemma4-e2b,distractions,7,0.801106,st
7,gemma4-e2b,distractions,8,0.905707,st
7,gemma4-e2b,distractions,9,0.97924,st
7,gemma4-e2b,distractions,10,0.978964,st
7,gemma4-e2b,distractions,11,1.0,st
7,gemma4-e2b,distractions,12,0.946259,st
7,gemma4-e2b,distractions,13,0.999688,st
7,gemma4-e2b,distractions,14,0.999743,st
7,gemma4-e2b,distractions,15,0.999743,st
1,Gemma4:e2b,finger,2,0.679906,st
1,Gemma4:e2b,finger,3,0.800421,st
1,Gemma4:e2b,finger,4,0.928477,st
1,Gemma4:e2b,finger,5,0.900768,st
1,Gemma4:e2b,finger,6,0.925101,st
1,Gemma4:e2b,finger,7,0.951505,st
1,Gemma4:e2b,finger,8,0.939697,st
1,Gemma4:e2b,finger,9,0.958068,st
1,Gemma4:e2b,finger,10,0.95831,st
1,Gemma4:e2b,finger,11,1.0,st
1,Gemma4:e2b,finger,12,1.0,st
1,Gemma4:e2b,finger,13,1.0,st
1,Gemma4:e2b,finger,14,1.0,st
2,gemma4-e2b,finger,2,0.764679,st
2,gemma4-e2b,finger,3,0.872173,st
2,gemma4-e2b,finger,4,0.923519,st
2,gemma4-e2b,finger,5,0.929938,st
2,gemma4-e2b,finger,6,0.955565,st
2,gemma4-e2b,finger,7,0.986237,st
2,gemma4-e2b,finger,8,0.939139,st
2,gemma4-e2b,finger,9,0.959831,st
2,gemma4-e2b,finger,10,1.0,st
2,gemma4-e2b,finger,11,1.0,st
2,gemma4-e2b,finger,12,1.0,st
2,gemma4-e2b,finger,13,1.0,st
2,gemma4-e2b,finger,14,1.0,st
4,gemma4-e2b,finger,2,0.725182,st
4,gemma4-e2b,finger,3,0.876528,st
4,gemma4-e2b,finger,4,0.880852,st
4,gemma4-e2b,finger,5,0.893636,st
4,gemma4-e2b,finger,6,0.942587,st
4,gemma4-e2b,finger,7,0.994974,st
4,gemma4-e2b,finger,8,0.953538,st
4,gemma4-e2b,finger,9,0.988348,st
4,gemma4-e2b,finger,10,0.992842,st
4,gemma4-e2b,finger,11,0.999685,st
4,gemma4-e2b,finger,12,1.0,st
4,gemma4-e2b,finger,13,1.0,st
4,gemma4-e2b,finger,14,1.0,st
4,gemma4-e2b,finger,15,1.0,st
5,gemma4-e2b,finger,2,0.728098,st
5,gemma4-e2b,finger,3,0.696688,st
5,gemma4-e2b,finger,4,0.749893,st
5,gemma4-e2b,finger,5,0.949425,st
5,gemma4-e2b,finger,6,0.835451,st
5,gemma4-e2b,finger,7,0.758,st
5,gemma4-e2b,finger,8,0.871388,st
5,gemma4-e2b,finger,9,1.0,st
5,gemma4-e2b,finger,10,0.993094,st
5,gemma4-e2b,finger,11,0.993094,st
5,gemma4-e2b,finger,12,0.976715,st
5,gemma4-e2b,finger,13,0.998759,st
5,gemma4-e2b,finger,14,0.998029,st
5,gemma4-e2b,finger,15,0.998029,st
6,gemma4-e2b,finger,2,0.753663,st
6,gemma4-e2b,finger,3,0.751606,st
6,gemma4-e2b,finger,4,0.829121,st
6,gemma4-e2b,finger,5,0.944751,st
6,gemma4-e2b,finger,6,0.995052,st
6,gemma4-e2b,finger,7,0.997439,st
6,gemma4-e2b,finger,8,0.997439,st
6,gemma4-e2b,finger,9,1.0,st
6,gemma4-e2b,finger,10,0.997439,st
6,gemma4-e2b,finger,11,1.0,st
6,gemma4-e2b,finger,12,0.993821,st
7,gemma4-e2b,finger,2,0.662681,st
7,gemma4-e2b,finger,3,0.854103,st
7,gemma4-e2b,finger,4,0.878019,st
7,gemma4-e2b,finger,5,0.89442,st
7,gemma4-e2b,finger,6,0.933223,st
7,gemma4-e2b,finger,7,0.910073,st
7,gemma4-e2b,finger,8,0.904323,st
7,gemma4-e2b,finger,9,0.994682,st
7,gemma4-e2b,finger,10,0.999458,st
7,gemma4-e2b,finger,11,1.0,st
7,gemma4-e2b,finger,12,0.997042,st
7,gemma4-e2b,finger,13,0.999649,st
7,gemma4-e2b,finger,14,0.999574,st
7,gemma4-e2b,finger,15,0.999574,st
1,Gemma4:e2b,experience,2,0.644757,st
1,Gemma4:e2b,experience,3,0.850295,st
1,Gemma4:e2b,experience,4,0.929757,st
1,Gemma4:e2b,experience,5,0.948287,st
1,Gemma4:e2b,experience,6,0.979125,st
1,Gemma4:e2b,experience,7,0.983506,st
1,Gemma4:e2b,experience,8,0.983117,st
1,Gemma4:e2b,experience,9,1.0,st
1,Gemma4:e2b,experience,10,1.0,st
1,Gemma4:e2b,experience,11,1.0,st
1,Gemma4:e2b,experience,12,1.0,st
1,Gemma4:e2b,experience,13,1.0,st
1,Gemma4:e2b,experience,14,1.0,st
2,gemma4-e2b,experience,2,0.7953,st
2,gemma4-e2b,experience,3,0.79782,st
2,gemma4-e2b,experience,4,0.990319,st
2,gemma4-e2b,experience,5,0.956381,st
2,gemma4-e2b,experience,6,0.921064,st
2,gemma4-e2b,experience,7,0.959561,st
2,gemma4-e2b,experience,8,0.967115,st
2,gemma4-e2b,experience,9,0.983517,st
2,gemma4-e2b,experience,10,1.0,st
2,gemma4-e2b,experience,11,0.984156,st
2,gemma4-e2b,experience,12,0.983205,st
2,gemma4-e2b,experience,13,1.0,st
2,gemma4-e2b,experience,14,0.998475,st
4,gemma4-e2b,experience,2,0.670556,st
4,gemma4-e2b,experience,3,0.903405,st
4,gemma4-e2b,experience,4,0.701361,st
4,gemma4-e2b,experience,5,0.7242,st
4,gemma4-e2b,experience,6,0.885071,st
4,gemma4-e2b,experience,9,0.931755,st
4,gemma4-e2b,experience,10,0.965316,st
4,gemma4-e2b,experience,11,0.997123,st
4,gemma4-e2b,experience,12,1.0,st
4,gemma4-e2b,experience,13,1.0,st
4,gemma4-e2b,experience,14,1.0,st
4,gemma4-e2b,experience,15,1.0,st
5,gemma4-e2b,experience,2,0.769354,st
5,gemma4-e2b,experience,3,0.803446,st
5,gemma4-e2b,experience,4,0.921868,st
5,gemma4-e2b,experience,5,0.999519,st
5,gemma4-e2b,experience,6,0.886273,st
5,gemma4-e2b,experience,7,0.893949,st
5,gemma4-e2b,experience,8,0.997642,st
5,gemma4-e2b,experience,9,1.0,st
5,gemma4-e2b,experience,10,1.0,st
5,gemma4-e2b,experience,11,1.0,st
5,gemma4-e2b,experience,12,1.0,st
5,gemma4-e2b,experience,13,1.0,st
5,gemma4-e2b,experience,14,1.0,st
5,gemma4-e2b,experience,15,1.0,st
6,gemma4-e2b,experience,2,0.783504,st
6,gemma4-e2b,experience,3,0.705594,st
6,gemma4-e2b,experience,4,0.951359,st
6,gemma4-e2b,experience,5,0.992439,st
6,gemma4-e2b,experience,6,0.807475,st
6,gemma4-e2b,experience,7,1.0,st
6,gemma4-e2b,experience,8,1.0,st
6,gemma4-e2b,experience,9,1.0,st
6,gemma4-e2b,experience,10,1.0,st
6,gemma4-e2b,experience,11,1.0,st
6,gemma4-e2b,experience,12,1.0,st
7,gemma4-e2b,experience,2,0.576979,st
7,gemma4-e2b,experience,3,0.78544,st
7,gemma4-e2b,experience,4,0.817804,st
7,gemma4-e2b,experience,5,0.781715,st
7,gemma4-e2b,experience,6,0.909465,st
7,gemma4-e2b,experience,7,0.8488,st
7,gemma4-e2b,experience,8,0.956081,st
7,gemma4-e2b,experience,9,0.997342,st
7,gemma4-e2b,experience,10,0.993058,st
7,gemma4-e2b,experience,11,1.0,st
7,gemma4-e2b,experience,12,0.990926,st
7,gemma4-e2b,experience,13,0.99802,st
7,gemma4-e2b,experience,14,1.0,st
7,gemma4-e2b,experience,15,1.0,st
